periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
2000-2020,SHAC_217,5414007,EL ASIENTO,0.003455338842723009,1.2611986775938984,2.8443336486816406e-4,1,15,20,0.75,-70.73211114,-32.73550971
2000-2020,SHAC_217,5415008,PERFIL SAN FELIPE,0.001525724371265425,0.5568893955118801,0,1,21,20,1.05,-70.73392996,-32.73630529
2000-2020,SHAC_218,5420009,FUNDO SAN ROQUE,3.846150192307686e-5,0.014038448201923055,0.044170498847961426,1,21,20,1.05,-70.86215186,-32.79265447
2000-2020,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-2.3710952032367336e-4,-0.08654497491814078,1,0,3,20,0.15,-71.02547156,-32.82884349
2000-2020,SHAC_219,5420006,FUNDO SANTA ADRIANA,4.716976650943389e-5,0.01721696477594337,0.011161088943481445,1,20,20,1,-70.82913475,-32.77221762
2000-2020,SHAC_219,5420007,HIJUELA PRINCIPAL,1.8890931230956733e-4,0.06895189899299208,0.2297825813293457,0,16,20,0.8,-70.80895258,-32.75661954
2000-2020,SHAC_220,5423014,FUNDO FLORENCE,1.4510391605660692e-4,0.05296292936066153,0.2890334129333496,0,17,20,0.85,-71.1212261,-32.83946724
2000-2020,SHAC_220,5423015,RABUCO (1),8.087080526866702e-6,0.002951784392306346,0.8833985328674316,0,21,20,1.05,-71.10740834,-32.8731217
2000-2020,SHAC_220,5423016,PARCELA 5,8.718567440265567e-5,0.03182277115696932,0.3598160743713379,0,15,20,0.75,-71.20547884,-32.79716832
2000-2020,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),1.2420301009668376e-5,0.0045334098685289575,0.4668586254119873,0,21,20,1.05,-71.14548902,-32.82405655
2000-2020,SHAC_220,5423018,ASENTAMIENTO LA SOMBRA,9.149294833920946e-5,0.033394926143811454,0,1,21,20,1.05,-71.05552522,-32.81523187
2000-2020,SHAC_220,5423019,POZO RABUCO (2),8.338270250579289e-5,0.030434686414614404,0,1,21,20,1.05,-71.11569622,-32.86077133
2000-2020,SHAC_220,5423020,FUNDO ESPERANZA,NA,NA,1,0,1,20,0.05,-71.10214426,-32.85383952
2000-2020,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),1.325153579337684e-4,0.048368105645825464,1.0514259338378906e-4,1,16,20,0.8,-71.15491881,-32.81383945
2000-2020,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,8.525417777076097e-5,0.031117774886327755,3.5762786865234375e-7,1,18,20,0.9,-71.08206483,-32.82806788
2000-2020,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),5.436261157923347e-5,0.019842353226420216,0.01984429359436035,1,21,20,1.05,-71.146715,-32.80664879
2000-2020,SHAC_220,5424006,PUCALAN DE NOGALES,6.026235446564713e-4,0.21995759379961205,1.3113021850585938e-06,1,19,20,0.95,-71.19913908,-32.71654211
2000-2020,SHAC_220,5424007,ASENTAMIENTO NOGALES,3.431228083138441e-4,0.12523982503455308,7.033348083496094e-6,1,21,20,1.05,-71.19910174,-32.7167592
2000-2020,SHAC_220,5424008,ASENTAMIENTO EL MELON,4.518674710541976e-4,0.16493162693478214,1.1920928955078125e-7,1,21,20,1.05,-71.19693963,-32.69166388
