periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
1980-2000,Invierno,SHAC_216,5428005,CON CON,0.2509090864393939,0.010072469711303711,1,15,20,0.75,-71.47398601,-32.92593612
1980-2000,Invierno,SHAC_216,5428006,CON CON,0.07295454052272728,0.01494598388671875,1,16,20,0.8,-71.47217409,-32.92383496
1980-2000,Invierno,SHAC_216,5428008,CON CON,0.234545453,0.0626981258392334,0,14,20,0.7,-71.49086356,-32.92386042
1980-2000,Invierno,SHAC_216,5428010,LAJARILLAS,0.07111112288888884,0.5480055809020996,0,7,20,0.35,-71.46550599,-32.92549965
1980-2000,Invierno,SHAC_217,5410010,FUNDO LA ESPERANZA,0.09749984749999996,0.8762695789337158,0,11,20,0.55,-70.61877795,-32.82246369
1980-2000,Invierno,SHAC_217,5410011,FUNDO LAS PENAS,0.7486665090000002,0.07980191707611084,0,14,20,0.7,-70.6532793,-32.79706589
1980-2000,Invierno,SHAC_217,5410014,MISION DE MARIA,1.0708332058333336,0.0010901689529418945,1,15,20,0.75,-70.68086565,-32.80406714
1980-2000,Invierno,SHAC_217,5410015,FUNDO LAS VIÑAS,0.7006666183333337,0.010072469711303711,1,15,20,0.75,-70.6726185,-32.79366137
1980-2000,Invierno,SHAC_217,5410017,FUNDO LAS MERCEDES,0.9070831937500005,7.650852203369141e-4,1,15,20,0.75,-70.64294187,-32.84634701
1980-2000,Invierno,SHAC_217,5410018,FUNDO LA QUIMERA,0.7698077421153848,0.017023801803588867,1,16,20,0.8,-70.68087768,-32.80413913
1980-2000,Invierno,SHAC_217,5410019,FUNDO LOS PINOS,0.8839448810768397,0.005781769752502441,1,17,20,0.85,-70.66409096,-32.78070632
1980-2000,Invierno,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.5777273172727271,0.10740470886230469,0,10,20,0.5,-70.69553787,-32.76236364
1980-2000,Invierno,SHAC_217,5410021,FUNDO LOS MAITENES,0.766923023846154,0.013347625732421875,1,15,20,0.75,-70.67754628,-32.83996231
1980-2000,Invierno,SHAC_217,5414007,EL ASIENTO,1.0003888882777774,0.07910919189453125,0,16,20,0.8,-70.73211114,-32.73550971
1980-2000,Invierno,SHAC_217,5415008,PERFIL SAN FELIPE,0.2459999801166671,2.6547908782958984e-4,1,16,20,0.8,-70.73392996,-32.73630529
1980-2000,Invierno,SHAC_218,5420009,FUNDO SAN ROQUE,0.009999990500000016,0.5112203359603882,0,14,20,0.7,-70.86215186,-32.79265447
1980-2000,Invierno,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-0.2276190801428571,0.1524062603712082,0,10,20,0.5,-71.02547156,-32.82884349
1980-2000,Invierno,SHAC_219,5420006,FUNDO SANTA ADRIANA,0.02166668549999991,0.01868307590484619,1,18,20,0.9,-70.82913475,-32.77221762
1980-2000,Invierno,SHAC_219,5420007,HIJUELA PRINCIPAL,0.017825859733974353,0.5829505920410156,0,13,20,0.65,-70.80895258,-32.75661954
1980-2000,Invierno,SHAC_220,5423014,FUNDO FLORENCE,0.09222221377777778,0.1658567190170288,0,15,20,0.75,-71.1212261,-32.83946724
1980-2000,Invierno,SHAC_220,5423015,RABUCO (1),0.28666667144444435,0.2757577896118164,0,11,20,0.55,-71.10740834,-32.8731217
1980-2000,Invierno,SHAC_220,5423016,PARCELA 5,-0.03291667495833335,0.5923012495040894,0,17,20,0.85,-71.20547884,-32.79716832
1980-2000,Invierno,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),-0.0033333301121794747,0.7415351867675781,0,17,20,0.85,-71.14548902,-32.82405655
1980-2000,Invierno,SHAC_220,5423018,ASENTAMIENTO LA SOMBRA,0.022240260009740248,0.22413420677185059,0,16,20,0.8,-71.05552522,-32.81523187
1980-2000,Invierno,SHAC_220,5423019,POZO RABUCO (2),0.01154758808333338,0.21615064144134521,0,17,20,0.85,-71.11569622,-32.86077133
1980-2000,Invierno,SHAC_220,5423020,FUNDO ESPERANZA,-0.05333334148737372,0.17872199416160583,0,13,20,0.65,-71.10214426,-32.85383952
1980-2000,Invierno,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),0.029583332458333344,0.011506080627441406,1,15,20,0.75,-71.15491881,-32.81383945
1980-2000,Invierno,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,0.025000000999999994,0.04354560375213623,1,17,20,0.85,-71.08206483,-32.82806788
1980-2000,Invierno,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),0.022083327166666666,0.5194960832595825,0,15,20,0.75,-71.146715,-32.80664879
