periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,años_totales,percent,lon,lat
1982-2022,Primavera,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-0.037166626883333366,0.7544541954994202,0,9,41,0.21951219512195122,-71.0254715,-32.8288434
1982-2022,Verano,SHAC_219,5420006,FUNDO SANTA ADRIANA,0.018863634636363636,6.401538848876953e-5,1,30,41,0.7317073170731707,-70.8291347,-32.7722176
1982-2022,Otoño,SHAC_219,5420006,FUNDO SANTA ADRIANA,0.019649016869458115,3.7550926208496094e-5,1,33,41,0.8048780487804879,-70.8291347,-32.7722176
1982-2022,Invierno,SHAC_219,5420006,FUNDO SANTA ADRIANA,0.0262352950627451,0,1,33,41,0.8048780487804879,-70.8291347,-32.7722176
1982-2022,Primavera,SHAC_219,5420006,FUNDO SANTA ADRIANA,0.026780310022727283,3.9696693420410156e-5,1,29,41,0.7073170731707317,-70.8291347,-32.7722176
1982-2022,Verano,SHAC_219,5420007,HIJUELA PRINCIPAL,0.04833332688888888,0.017456889152526855,1,23,41,0.5609756097560976,-70.8089525,-32.7566195
1982-2022,Otoño,SHAC_219,5420007,HIJUELA PRINCIPAL,0.07000001266666661,2.434253692626953e-4,1,27,41,0.6585365853658537,-70.8089525,-32.7566195
1982-2022,Invierno,SHAC_219,5420007,HIJUELA PRINCIPAL,0.0878405868869565,2.4569034576416016e-4,1,25,41,0.6097560975609756,-70.8089525,-32.7566195
1982-2022,Primavera,SHAC_219,5420007,HIJUELA PRINCIPAL,0.07977499244749998,2.652406692504883e-4,1,25,41,0.6097560975609756,-70.8089525,-32.7566195
1982-2022,Verano,SHAC_220,5423014,FUNDO FLORENCE,0.05874997387499997,0.048744916915893555,1,14,41,0.34146341463414637,-71.1212261,-32.8394672
1982-2022,Otoño,SHAC_220,5423014,FUNDO FLORENCE,0.056666669428571445,8.071660995483398e-4,1,26,41,0.6341463414634146,-71.1212261,-32.8394672
1982-2022,Invierno,SHAC_220,5423014,FUNDO FLORENCE,0.04135417195833335,0.081317901611328125,0,23,41,0.5609756097560976,-71.1212261,-32.8394672
1982-2022,Primavera,SHAC_220,5423014,FUNDO FLORENCE,0.08333332195238097,5.813837051391602e-4,1,22,41,0.5365853658536586,-71.1212261,-32.8394672
1982-2022,Verano,SHAC_220,5423015,RABUCO (1),0.1081249974375,0.01580047607421875,1,31,41,0.7560975609756098,-71.1074083,-32.8731216
1982-2022,Otoño,SHAC_220,5423015,RABUCO (1),0.11630681609469698,6.594657897949219e-4,1,32,41,0.7804878048780488,-71.1074083,-32.8731216
1982-2022,Invierno,SHAC_220,5423015,RABUCO (1),0.11281249487499999,0.0015704631805419922,1,31,41,0.7560975609756098,-71.1074083,-32.8731216
1982-2022,Primavera,SHAC_220,5423015,RABUCO (1),0.13743420147368424,3.24249267578125e-4,1,33,41,0.8048780487804879,-71.1074083,-32.8731216
1982-2022,Verano,SHAC_220,5423016,PARCELA 5,0.005011905040476187,0.8743913173675537,0,28,41,0.6829268292682927,-71.2054788,-32.7971683
1982-2022,Otoño,SHAC_220,5423016,PARCELA 5,0.0060555602388888815,0.707491397857666,0,29,41,0.7073170731707317,-71.2054788,-32.7971683
1982-2022,Invierno,SHAC_220,5423016,PARCELA 5,-0.014583334333333337,0.4753202199935913,0,31,41,0.7560975609756098,-71.2054788,-32.7971683
1982-2022,Primavera,SHAC_220,5423016,PARCELA 5,0.005000000111111113,0.7616263628005981,0,30,41,0.7317073170731707,-71.2054788,-32.7971683
1982-2022,Verano,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),0.015833333083333328,0.016382336616516113,1,35,41,0.8536585365853658,-71.145489,-32.8240565
